Order_ID,Customer_Name,Product_Category,Product_Name,Units_Sold,Unit_Price,Discount_%,Sales_Amount,Order_Date,City,Segment,Profit
1000,Brian Thompson,Jeans,Slim Fit Jeans,2.0,842.0,0.6,0.0,2025-02-27,Delhi,B2C,2137.45
1001,Shaun Ross,Jeans,Slim Fit Jeans,1.0,2843.9,0.0,0.0,2025-07-15,Ahmedabad,Unknown,1588.15
1005,Samuel Miller,T-Shirts,Crop Top,2.0,2843.9,0.0,0.0,2023-12-05,Mumbai,B2B,1477.73
1006,John Mclean,Jeans,Boyfriend Jeans,1.0,2060.85,0.0,0.0,2024-04-02,Ahmedabad,B2B,198.36
1009,Dale Perry,T-Shirts,Oversized T-shirt,5.0,2843.9,0.0,0.0,2025-07-20,Bangalore,B2B,-972.73
1018,Andrew Washington,Dresses,Maxi Dress,4.0,2843.9,0.0,0.0,2024-04-13,bengaluru,B2C,2102.56
1021,Amber Bowman,Dresses,Wrap Dress,2.0,2843.9,0.0,0.0,2024-05-05,bengaluru,B2B,-705.72
1026,Colton Baxter,Accessories,Sunglasses,2.0,2843.9,0.0,0.0,2024-12-21,Ahmedabad,B2B,-194.77
1030,Brandi Jones,Dresses,Maxi Dress,3.0,1069.77,0.0,0.0,2023-09-03,Hyd,B2C,1155.38
1036,Connie Cunningham,T-Shirts,Graphic Tee,-2.0,2721.83,0.0,0.0,2024-04-06,Ahmedabad,B2B,1213.95
1038,Courtney Riddle,T-Shirts,Crop Top,3.0,1692.38,0.0,0.0,2024-01-20,bengaluru,B2C,1704.49
1042,Richard Williams,Dresses,Bodycon,2.0,2843.9,0.0,0.0,2025-04-12,Pune,Unknown,283.39
1051,Eric Wilson,Jeans,Boyfriend Jeans,2.0,2843.9,0.57,0.0,2025-04-26,Delhi,B2C,2857.9
1052,Zachary Ramos,Jeans,Ripped Denim,2.0,3252.49,0.56,0.0,2023-12-08,Bangalore,Unknown,-11.15
